,Название,Текст,Первоисточник
52,В ОПУСТЕВШЕМ ДОМЕ ОТДЫХА,"

Впасть в обморок беспамятства, как плод,
уснувший тихо средь ветвей и грядок,
не сознавать свою живую плоть,
ее чужой и грубый беспорядок.

Вот яблоко, возникшее вчера.
В нем - мышцы влаги, красота пигмента,
то тех, то этих действий толчея.
Но яблоку так безразлично это.

А тут, словно с оравою детей,
не совладаешь со своим же телом,
не предусмотришь всех его затей,
не расплетешь его переплетений.

И так надоедает под конец
в себя смотреть, как в пациента лекарь,
все время слышать треск своих сердец
и различать щекотный бег молекул.
И отвернуться хочется уже,
вот отвернусь, но любопытно глазу.
Так музыка на верхнем этаже
мешает и заманивает сразу.

В глуши, в уединении моем,
под снегом, вырастающим на кровле,
живу одна и будто бы вдвоем -
со вздохом в легких, с удареньем крови.

То улыбнусь, то пискнет голос мой,
то бьется пульс, как бабочка в ладони.
Ну, слава богу, думаю, живой
остался кто-то в опустевшем доме.

И вот тогда тебя благодарю,
мой организм, живой зверек природы,
верши, верши простую жизнь свою,
как солнышко, как лес, как огороды.

И впредь играй, не ведай немоты!
В глубоком одиночестве, зимою,
я всласть повеселюсь средь пустоты,
тесно и шумно населенной мною.

",[]
53,ДОЖДЬ И САД,"

В окне, как в чуждом букваре,
неграмотным я рыщу взглядом.
Я мало смыслю в декабре,
что выражен дождем и садом.

Где дождь, где сад - не различить.
Здесь свадьба двух стихий творится.
Их совпаденье разлучить
не властно зренье очевидца.

Так обнялись, что и ладонь
не вклинится! Им не заметен
медопролитный крах плодов,
расплющенных объятьем этим.

Весь сад в дожде! Весь дождь в саду!
Погибнут дождь и сад друг в друге,
оставив мне решать судьбу
зимы, явившейся на юге.

Как разниму я сад и дождь
для мимолетной щели светлой,
чтоб птицы маленькая дрожь
вместилась меж дождем и веткой?

Не говоря уже о том,
что в промежуток их раздора
мне б следовало втиснуть дом,
где я последний раз бездомна.

Душа желает и должна
два раза вытерпеть усладу:
страдать от сада и дождя
и сострадать дождю и саду.

Но дом при чем? В нем все мертво!
Не я ли совершила это?
Приют сиротства моего
моим сиротством сжит со света.
Просила я беды благой,
но все ж не то и не настолько,
чтоб выпрошенной мной бедой
чужие вышибало стекла.

Все дождь и сад сведут на нет,
изгнав из своего объема
не обязательный предмет
вцепившегося в землю дома.

И мне ли в нищей конуре
так возгордиться духом слабым,
чтобы препятствовать игре,
затеянной дождем и садом?

Не время ль уступить зиме,
с ее деревьями и мглою,
чужое место на земле,
некстати занятое мною?

",[]
54,x x x,"

Зима на юге. Далеко зашло
ее вниманье к моему побегу.
Мне - поделом. Но югу-то за что?
Он слишком юн, чтоб предаваться снегу.

Боюсь смотреть, как мучатся в саду
растений полумертвые подранки.
Гнев севера меня имел в виду,
я изменила долгу северянки.

Что оставалось выдумать уму?
Сил не было иметь температуру,
которая бездомью моему
не даст погибнуть спьяну или сдуру.

Неосторожный беженец зимы,
под натиском ее несправедливым,
я отступала в теплый тыл земли,
пока земля не кончилась обрывом.

Прыжок мой, понукаемый бедой,
повис над морем - если море это:
волна, недавно бывшая водой,
имеет вид железного предмета.

Над розами творится суд в тиши,
мороз кончины им сулят прогнозы.
Не твой ли ямб, любовь моей души,
шалит, в морозы окуная розы?

Простите мне теплицы красоты!
Я удалюсь и все это улажу.
Зачем влекла я в чуждые сады
судьбы своей громоздкую поклажу?

Мой ад - при мне, я за собой тяну
суму своей печали неказистой,
так альпинист, взмывая в тишину,
с припасом суеты берет транзистор.

И впрямь-так обнаглеть и занестись,.
чтоб дисциплину климата нарушить!
Вернулась я, и обжигает кисть
обледеневшей варежки наручник.
Зима, меня на место водворив,
лишила юг опалы снегопада.
Сладчайшего цветения прилив
был возвращен воскресшим розам сада.

Январь со мной любезен, как весна.
Краса мурашек серебрит мне спину.
И, в сущности, я польщена весьма
влюбленностью зимы в мою ангину.

",[]
55,ОСЕНЬ,"

Не действуя и не дыша,
все слаще обмирает улей.
Все глубже осень, и душа
все опытнее и округлей.

Она вовлечена в отлив
плода, из пустяка пустого
отлитого. Как кропотлив
труд осенью, как тяжко слово.

Значительнее, что ни день,
природа ум обременяет,
похожая на мудрость лень
уста молчаньем осеняет.

Даже дитя, велосипед
влекущее,
вертя педалью,
вдруг поглядит на белый свет
с какой-то ясною печалью.

",[]
56,БОЛЕЗНЬ,"

О боль, ты - мудрость. Суть решений
перед тобою так мелка,
и осеняет темный гений
глаз захворавшего зверька.

В твоих губительных пределах
был разум мой высок и скуп,
но трав целебных поределых
вкус мятный уж не сходит с губ.

Чтоб облегчить последний выдох,
я, с точностью того зверька,
принюхавшись, нашла свой выход
в печальном стебельке цветка.

О, всех простить - вот облегченье!
О, всех простить, всем передать
и нежную, как облученье,
вкусить всем телом благодать.

Прощаю вас, пустые скверы!
При вас лишь, в бедности моей,
я плакала от смутной веры
над капюшонами детей.

Прощаю вас, чужие руки!
Пусть вы протянуты к тому,
что лишь моей любви и муки
предмет, не нужный никому.


Прощаю вас, глаза собачьи!
Вы были мне укор и суд.
Все мои горестные плачи
досель эти глаза несут.

Прощаю недруга и друга!
Целую наспех все уста!
Во мне, как в мертвом теле круга,
законченность и пустота.

И взрывы щедрые, и легкость,
как в белых дребезгах перин,
и уж не тягостен мой локоть
чувствительной черте перил.

Лишь воздух под моею кожей.
Жду одного: на склоне дня,
охваченный болезнью схожей,
пусть кто-нибудь простит меня.

",[]
57,ПЕЙЗАЖ,"

Еще ноябрь, а благодать
уж сыплется, уж смотрит с неба.
Иду и хоронюсь от света,
чтоб тенью снег не утруждать.

О стеклодув, что смысл дутья
так выразил в сосульках этих!
И, запрокинув свой беретик,
на вкус их пробует дитя.

И я, такая молодая,
со сладкой льдинкою во рту,
оскальзываясь, приседая,
по снегу белому иду.

",[]
58,ЗИМА,"

О жест зимы ко мне,
холодный и прилежный.
Да, что-то есть в зиме
от медицины нежной.

Иначе как же вдруг
из темноты и муки
доверчивый недуг
к ней обращает руки?

О милая, колдуй,
заденет лоб мой снова
целебный поцелуй
колечка ледяного.

И все сильней соблазн
встречать обман доверьем,
смотреть в глаза собак
и приникать, к деревьям.

Прощать, как бы играть,
с разбега, с поворота,
и, завершив прощать,
простить еще кого-то.



Сравняться с зимним днем,
с его пустым овалом,
и быть всегда при нем
его оттенком, малым.

Свести себя на нет,
чтоб вызвать за стеною
не тень мою, а свет,
не заслоненный мною.

",[]
59,БИОГРАФИЧЕСКАЯ СПРАВКА,"

Все началось далекою порой,
в младенчестве, в его начальном классе,
с игры в многозначительную роль: -
быть Мусею, любимой меньше Аси.

Бегом, в Тарусе, босиком, в росе,
без промаха - непоправимо мимо,
чтоб стать любимой менее, чем все,
чем все, что в этом мире не любимо.

Да и за что любить ее, кому?
Полюбит ли мышиный сброд умишек
то чудище, несущее во тьму
всеведенья уродливый излишек?

И тот изящный звездочет искусств
и счетовод безумств витиеватых
не зря не любит излученье уст,
пока еще ни в чем не виноватых.

Мила ль ему незваная звезда,
чей голосок, нечаянно, могучий,
его освобождает от труда
старательно содеянных созвучий?

В приют ее - меж грязью и меж льдом!
Но в граде чернокаменном, голодном,
что делать с этим неуместным лбом?
Где быть ему, как не на месте лобном?

Добывшая двугорбием ума
тоску и непомерность превосходства,
она насквозь минует терема
всемирного бездомья и сиротства.

Любая милосердная сестра
жестокосердно примирится с горем,
с избытком рокового мастерства -
во что бы то ни стало быть изгоем.

Ты перед ней не виноват, Берлин!
Ты гнал ее, как принято, как надо,
но мрак твоих обоев и белил
еще не ад, а лишь предместье ада.

Не обессудь, божественный Париж,
с надменностью ты целовал ей руки,
он все же был лишь захолустьем крыш,
провинцией ее державной муки.

Тягаться ль вам, селения беды,
с непревзойденным бедствием столицы,
где рыщет Марс над плесенью воды,
тревожа тень кавалерист - девицы?
Затмивший золотые города,
чернеет двор последнего страданья,
где так она нища и голодна,
как в высшем средоточье мирозданья.

Хвала и предпочтение молвы
Елабуге, пред прочею землею.
Кунсткамерное чудо головы
изловлено и схвачено петлею.

Всего-то было горло и рука,
в пути меж ними станет звук строкою,
все тот же труд меж горлом и рукою,
и смертный час - не больше, чем строка.

Но ждать так долго! Отгибая прядь,
поглядывать зрачком - красна ль рябина,
и целый август вытерпеть? О, впрямь
ты - сильное чудовище, Марина.

                КЛ?НУСЬ

Тем летним снимком на крыльце чужом
как виселица, криво и отдельно
поставленным, не приводящим в дом,
но выводящим из дому. Одета
в неистовый сатиновый доспех,
стесняющий огромный мускул горла,
так и сидишь, уже отбыв, допев
труд лошадиный голода и горя.
Тем снимком. Слабым острием локтей
ребенка с удивленною улыбкой,
которой смерть влечет к себе детей
и украшает их черты уликой.
Тяжелой болью памяти к тебе,
когда, хлебая безвоздушность горя,
от задыхания твоих тире
до крови я откашливала горло.
Присутствием твоим крала, несла,
брала себе тебя и воровала,
забыв, что ты - чужое, ты - нельзя,
ты - богово, тебя у бога мало.
Последней исхудалостию той,
добившею тебя крысиным зубом.
Благословенной родиной святой,
забывшею тебя в сиротстве грубом.
Возлюбленным тобою не к добру
вседобрым африканцем небывалым,
который созерцает детвору.
И детворою. И Тверским бульваром.
Твоим печальным отдыхом в раю,
где нет тебе ни ремесла, ни муки.
Клянусь убить Елабугу твою,
Елабугой твоей, чтоб спали внуки.
Старухи будут их стращать в ночи,
что нет ее, что нет ее, не зная:
""Спи, мальчик или девочка, молчи,
ужо придет Елабуга слепая"".
О, как она всей путаницей ног.
припустится ползти, так скоро, скоро.
Я опущу подкованный сапог
на щупальцы ее без приговора.
Утяжелив собой каблук, носок,
в затылок ей - и продержать подольше.
Детенышей ее зеленый сок
мне острым ядом опалит подошвы.
В хвосте ее созревшее яйцо
я брошу в землю, раз земля бездонна,
ни словом не обмолвясь про крыльцо
Марининого смертного бездомья.
И в этом я клянусь. Пока во тьме,
зловоньем ила, жабами колодца,
примеривая желтый глаз ко мне,
убить меня Елабуга клянется.

",[]
60,УРОКИ МУЗЫКИ,"

Люблю, Марина, что тебя, как всех,
что, - как меня, -
озябшею гортанью
не говорю: тебя - как свет! как снег! -
усильем шеи, будто лед глотаю,
стараюсь вымолвить: тебя, как всех,
учили музыке. (О крах ученья!
Как если бы, под богов плач и смех,
свече внушали правила свеченья.)
Не ладили две равных темноты:
рояль и ты - два совершенных круга,
в тоске взаимной глухонемоты
терпя иноязычие друг друга.
Два мрачных исподлобья сведены
в неразрешимой и враждебной встрече:
рояль и ты - две сильных тишины,
два слабых горла музыки и речи.
Но твоего сиротства перевес
решает дело. Что рояль? Он узник
безгласности, покуда в до-диез
мизинец свой не окунет союзник.
А ты - одна. Тебе - подмоги нет.
И музыке трудна твоя наука -
не утруждая ранящий предмет,
открыть в себе кровотеченье звука.
Марина, до! До - детства, до - судьбы,
до - ре, до - речи, до - всего, что после,
равно, как вместе мы склоняли лбы
в той общедетской предрояльной позе,
как ты, как ты, вцепившись в табурет, -
о карусель и Гедике ненужность! -
раскручивать сорвавшую берет,
свистящую вкруг головы окружность.
Марина, это все - для красоты
придумано, в расчете на удачу
раз накричаться: я - как ты, как ты!
И с радостью бы крикнула, да - плачу.

",[]
61,x x x,"

Четверть века, Марина, тому,
как Елабуга ластится раем
к отдохнувшему лбу твоему,
но и рай ему мал и неравен.

Неужели к всеведенью мук,
что тебе удалось как удача,
я добавлю бесформенный звук
дважды мною пропетого плача.

Две бессмыслицы - мертв и мертва,
две пустынности, два ударенья -
царскосельских садов дерева,
переделкинских рощиц деревья.

И усильем двух этих кончин
так исчерпана будущность слова.
Не осталось ни уст, ни причин,
чтобы нам затевать его снова.

Впрочем, в этой утрате суда
есть свобода и есть безмятежность:
перед кем пламенеть от стыда,
оскорбляя страниц белоснежность?

Как любила! Возможно ли злей?
Без прощения, без обещанья
имена их любовью твоей
были сосланы в даль обожанья.

Среди всех твоих бед и - плетей
только два тебе есть утешенья:
что не знала двух этих смертей
и воспела два этих рожденья.

",[]
62,СВЕЧА,"

Всего-то - чтоб была свеча,
свеча простая, восковая,
и старомодность вековая
так станет в памяти свежа.

И поспешит твое перо
к той грамоте витиеватой,
разумной и замысловатой,
и ляжет на душу добро.

Уже ты мыслишь о друзьях
все чаще, способом старинным,
и сталактитом стеаринным
займешься с нежностью в глазах.

И Пушкин ласково глядит,
и ночь прошла, и гаснут свечи,
и нежный вкус родимой речи
так чисто губы холодит.

",[]
63,СНЕГОПАД,"

Снегопад свое действие начал
и еще до свершения тьмы
Переделкино переиначил
в безымянную прелесть зимы.

Дома творчества дикую кличку
он отринул и вытер с доски
и возвысил в полях электричку
до всемирного звука тоски.

Обманувши сады, огороды,
их ничтожный размер одолев,
возымела значенье природы
невеликая сумма дерев.

На горе, в тишине совершенной,
голос древнего пенья возник,
и уже не села, а вселенной
ты участник и бедный должник.



Вдалеке, меж звездой и дорогой,
сам дивясь, что он здесь и таков,
пролетел лучезарно здоровый
и ликующий лыжник снегов.

Вездесущая сила движенья,
этот лыжник, земля и луна -
лишь причина для стихосложенья,
для мгновенной удачи ума.

Но, пока в снегопаданье строгом
ясен разум и воля свежа,
в промежутке меж звуком и словом
опрометчиво медлит душа.

",[]
64,МЕТЕЛЬ,"

Февраль - любовь и гнев погоды.
И, странно воссияв окрест,
великим севером природы
очнулась скудость дачных мест.

И улица в четыре дома,
открыв длину и ширину,
берет себе непринужденно
весь снег вселенной, всю луну.

Как сильно вьюжит! Не иначе -
метель посвящена тому,
кто эти дерева и дачи
так близко принимал к уму.

Ручья невзрачное теченье,
сосну, понурившую ствол,
в иное он вовлек значенье
и в драгоценность перевел.

Не потому ль, в красе и тайне,
пространство, загрустив о нем,
той речи бред и бормотанье
имеет в голосе своем.

И в снегопаде, долго бывшем,
вдруг, на мгновенье, прервалась
меж домом тем и тем кладбищем
печали пристальная связь.

",[]
65,СИМОНУ ЧИКОВАНИ,"

Явиться утром в чистый север сада,
в глубокий день зимы и снегопада,
когда душа свободна и проста,
снегов успокоителен избыток
и пресной льдинки маленький напиток
так развлекает и смешит уста.

Все нужное тебе - в тебе самом, -
подумать, и увидеть, что Симон
идет один к заснеженной ограде.
О, нет, зимой мой ум не так умен,
чтобы поверить и спросить: - Симон,
как это может быть при снегопаде?

И разве ты не вовсе одинаков
с твоей землею, где, навек заплакав
от нежности, все плачет тень моя,
где над Курой, в объятой богом Мцхете,
в садах зимы берут фиалки дети,
их называя именем ""Иа""?

И, коль ты здесь, кому теперь видна
пустая площадь в три больших окна
и цирка детский круг кому заметен?
О, дома твоего беспечный храм,
прилив вина и лепета к губам
и пение, что следует за этим!

Меж тем все просто: рядом то и это,
и в наше время от зимы до лета
полгода жизни, лета два часа.
И приникаю я лицом к Симону
все тем же летом, того же зимою,
когда цветам и снегу нет числа.

Пускай же все само собой идет:
сам прилетел по небу самолет,
сам самовар нам чай нальет в стаканы. -
Не будем звать, но сам придет сосед
для добрых восклицаний и бесед,
и голос сам заговорит стихами.

Я говорю себе: твой гость с тобою,
любуйся его милой худобою,
возьми себе, не отпускай домой.
Но уж звонит во мне звонок испуга:
опять нам долго не видать друг друга
в честь разницы меж летом и зимой.

Простились, ничего не говоря.
Я предалась заботам января,
вздохнув во сне легко и сокровенно.
И снова я тоскую поутру.
И в сад иду, и веточку беру,
и на снегу пишу я: Сакартвело.

",[]
66,ГОСТИТЬ У ХУДОЖНИКА,"

                            Юрию Васильеву

Итог увяданья подводит октябрь.
Природа вокруг тяжела, серьезна.
В час осени крайний - так скучно локтям
опять ушибаться об угол сиротства.
Соседской четы непомерный визит
все длится, и я, всей душой утомляясь,
ни слова не вымолвлю - в горле висит
какая-то глухонемая туманность.
В час осени крайний - огонь погасить
и вдруг, засыпая, воспрянуть догадкой,
что некогда звали тебя погостить
в дому у художника, там, за Таганкой.
И вот, аспирином задобрив недуг,
напялив калоши, - скорее, скорее
туда, где, румяные щеки надув,
художник умеет играть на свирели.
О милое зрелище этих затей!
Средь кистей, торчащих из банок и ведер,
играет свирель и двух малых детей
печальный топочет вокруг хороводик.
Два детские личика умудрены
улыбкой такою усталой и вечной,
как будто они в мирозданье должны
нестись и описывать круг бесконечный.
Как будто творится века напролет
все это: заоблачный лепет свирели
и маленьких тел одинокий полет
над прочностью мира, во мгле акварели.
И я, притаившись в тени голубой,
застыв перед тем невесомым весельем,
смотрю на суровый их танец, на бой
младенческих мышц
с тяготеньем вселенным -
Слабею, впадаю в смятенье невежд,
когда, воссияв над трубою подзорной,
их в обморок вводит избыток небес,
терзая рассудок тоской тошнотворной.
Но полно! И я появляюсь в дверях,
недаром сюда я брела и спешила.
О счастье, что кто-то так радостно рад,
рад так беспредельно
и так беспричинно!
Явленью моих одичавших локтей
художник так рад, и свирель его рада,
и щедрые ясные лица детей
даруют мне синее солнышко взгляда.
И входит, подходит та, милая, та,
простая, как холст,
не насыщенный грунтом.

Но кроткого, смирного лба простота
пугает предчувствием
сложным и грустным.
О скромность холста,
 пока срок не пришел,
невинность курка,
пока пальцем не тронешь,.
звериный, до времени спящий прыжок,
нацеленный в близь, где играет звереныш.
Как мускулы в ней высоко взведены,
когда первобытным следит исподлобьем
три тени родные, во тьму глубины
запущенные виражом бесподобным.
О девочка цирка, хранящая дом!
Все ж выдаст болезненно -
звездная бледность -
во что ей обходится маленький вздох
над бездной внизу, означающей бедность.
Какие клинки покидают ножны,
какая неисповедимая доблесть
улыбкой ответствует гневу нужды,
каменья ее обращая в съедобность?
Как странно незрима она на свету,
как слабо затылок ее позолочен,
но неколебимо хранит прямоту
прозрачный, стеклянный ее позвоночник.
И радостно мне любоваться опять
лицом ее, облаком неочевидным,
и рученьку боязно в руку принять,
как тронуть скорлупку
в гнезде соловьином.

И я говорю: - О, давайте скорей
кружиться в одной карусели отвесной,
подставив горячие лбы под свирель,
под ивовый дождь ее частых отверстий!
Художник на бочке высокой сидит,
как Пан, в свою хитрую дудку дудит.

Давайте, давайте кружиться всегда,
и все, что случится, - еще не беда,
ах, господи боже мой, вот вечеринка,
проносится около уха звезда,
под веко летит золотая соринка,
и кто мы такие, и что это вдруг
цветет акварели голубенький дух,
и глина краснеет, как толстый ребенок,
и пыль облетает с холстов погребенных,
и дивные рожи румяных картин
являются нам, когда мы захотим.
Проносимся! И посреди тишины
целуется красное с желтым и синим,
и все одиночества душ сплочены
в созвездье одно притяжением сильным.

Жить в доме художника день или два
и дольше, но дому еще не наскучить,
случайно узнать, что стоят дерева
под тяжестью белой, повисшей на сучьях,
с утра втихомолку собраться домой,
брести облегченно по улице снежной,
жить дома, пока не придет за тобой
любви и печали порыв центробежный.

",[]
67,ЗИМНЯЯ ЗАМКНУТОСТЬ,"

                             Б. Окуджаве

Странный гость побывал у меня в феврале.
Снег занес, мою крышу еще - в январе,
предоставив мне замкнутость дум и деяний.
Я жила взаперти, как огонь в фонаре
или как насекомое, что в янтаре
уместилось в простор тесноты идеальной.

Странный гость предо мною
внезапно возник,
и тем более странен был этот визит,
что снега мою дверь охраняли сурово.
Например - я зерно моим птицам несла.
""Можно ль выйти наружу?"" - спросила. -
                                        ""Нельзя"", -
мне ответила сильная воля сугроба.

Странный гость, говорю вам,
неведомый гость.
Он прошел через стенку насквозь,
словно гвоздь,
кем-то вбитый извне для неведомой цели.
Впрочем, что же еще оставалось ему,
коль в дому, замурованном в снежную тьму,
не осталась для входа ни двери, ни щели.

Странный гость -
он в гостях не гостил, а царил.
Он огнем исцелил
свой промокший цилиндр,
из-за пазухи выпустал свинку морскую
и сказал: ""О, пардон, я продрог, и притом
я ушибся, когда проходил напролом
в этот дом, где теперь простудиться рискую"".

Я сказала: ""Огонь вас утешит, о гость.
Горсть орехов, вина быстротечная гроздь -

вот мой маленький юг
среди вьюг справедливых.
Что касается бедной царевны морей -
ей давно приготовлен любовью моей
плод капусты, взращенный
в нездешних заливах"".

Странный гость похвалился:
""Заметьте, мадам,
что я склонен к слезам,
но не склонны к следам
мои ноги промокшие. Весь я - загадка!""
Я ему объяснила, что я не педант
и за музыкой я не хожу по пятам,
чтобы видеть педаль
под ногой музыканта.

Странный гость закричал:
""Мне не нравится тон
ваших шуток!
Потом будет жуток ваш стон!
Очень плохи дела ваших духа и плоти!
Потому без стыда я явился, сюда,
что мне ведома бедная ваша судьба""..
Я спросила его: ""Почему вы не пьете?""
Странный гость
не побрезговал выпить вина.
Опрометчивость уст его речи свела
лишь к ошибкам, улыбкам
и доброму плачу:
""Протяжение спора угодно душе!
Вы - дитя мое, баловень и протеже.

Я судьбу вашу как-нибудь переиначу.
Ведь не зря вещий зверь
чистой шерстью белел -
ошибитесь, возьмите счастливый билет!
Выбирайте любую утеху мирскую!""
Поклонилась я гостю: ""Вы очень добры,
до поры отвергаю я ваши дары.
Но спасите прекрасную свинку морскую!

Не она ль мне по злому сиротству сестра?
Как остра эта грусть - озираться со сна
средь стихии чужой,
а к своей не пробиться.
О, как нежно марина, моряна, моря
неизбежно манят и минуют меня,
оставляя мне детское зренье провидца.

В остальном - благодарна я
доброй судьбе.
Я живу, как желаю, - сама по себе.
Бог ко мне справедлив
и любезен издатель.
Старый пес мой
взмывает к щеке, как щенок.
И широк дивный выбор всевышних щедрот:
ямб, хорей, амфибрахий, анапест и дактиль.

А вчера колокольчик в полях дребезжал.
Это старый товарищ ко мне приезжал.
Зря боялась - а вдруг он дороги не сыщет?
Говорила: когда тебя вижу, Булат,
два зрачка от чрезмерности зренья болят,
беспорядок любви в моем разуме свищет"".
Странный гость засмеялся.
Он знал, что я лгу.
Не бывало саней в этом сиром снегу.
Мой товарищ с товарищем
пьет в Ленинграде.
И давно уж собака моя умерла -
стало меньше дыханьем в груди у меня.
И чураются руки пера и тетради.

Странный гость подтвердил: ""Вы несчастны
                                            теперь"".
В это время открылась закрытая дверь.
Снег все падал и падал, не зная убытка.
Сколь вошедшего облик был смел и пригоже
И влекла петербургская кожа калош
след - лукавый и резвый, как будто улыбка.

Я надеюсь, что гость мой поймет и зачтет,
как во мраке лица серебрился зрачок,
как был рус африканец и смугл россиянин?
Я подумала - скоро конец февралю -
и сказала вошедшему: ""Радость! Люблю!
Хорошо, что меж нами не быть расставаньям!""
",[]
68,ВАРФОЛОМЕЕВСКАЯ НОЧЬ,"

Я думала в уютный час дождя:
а вдруг и впрямь, по логике наитья,
заведомо безнравственно дитя,
рожденное вблизи кровопролитья.

В ту ночь, когда святой Варфоломей
на пир созвал всех алчущих, как тонок
был плач того, кто между двух огней
еще не гугенот и не католик.

Еще птенец, едва поющий вздор,
еще в ходьбе не сведущий козленок,
он выжил и присвоил первый вздох,
изъятый из дыхания казненных.

Сколь, нянюшка, ни пестуй, ни корми
дитя твое цветочным млеком меда,
в его опрятной маленькой крови
живет глоток чужого кислорода.

Он лакомка, он хочет пить еще,
не знает организм непросвещенный,
что ненасытно, сладко, горячо
вкушает дух гортани пресеченной.

Повадился дышать! Не виноват
в религиях и гибелях далеких.
И принимает он кровавый чад
за будничную выгоду для легких.

Не знаю я, в тени чьего плеча
он спит в уюте детства и злодейства.
Но и палач, и жертва палача
равно растлят незрячий сон младенца.

Когда глаза откроются - смотреть,
какой судьбою в нем взойдет отрава?
Отрадой - умертвить? Иль умереть?
Или корыстно почернеть от рабства?

Привыкшие к излишеству смертей,
вы, люди добрые, бранитесь и боритесь,
вы так бесстрашна нянчите детей,
что и детей, наверно, не боитесь.

И коль дитя расплачется со сна,
не беспокойтесь - малость виновата:
немного растревожена десна
молочными резцами вурдалака.

А если что-то глянет из ветвей,
морозом жути кожу задевая, -
не бойтесь! Это личики детей,
взлелеянных под сенью злодеянья.

Но, может быть, в беспамятстве, в раю,
тот плач звучит в честь выбора другого,
и хрупкость беззащитную свою
оплакивает маленькое горло

всем ужасом, чрезмерным для строки,
всей музыкой, не объясненной в нотах.
А в общем-то - какие пустяки!
Всего лишь - тридцать тысяч гугенотов.

",[]
69,x x x,"

Последний день живу я в странном доме,
чужом, как все дома, где я жила.
Загнав зрачки в укрытие ладони,
прохлада дня сияет, как жара.

В красе земли - беспечность совершенства.
Бела бумага.
Знаю, что должна
Блаженствовать я в этот час блаженства.
Но вновь молчит и бедствует душа.

",[]
70,РИСУНОК,"

Рисую женщину в лиловом.
Какое благо - рисовать
и не уметь? А ту тетрадь
с полузабытым полусловом
я выброшу! Рука вольна
томиться нетерпеньем новым.
Но эта женщина в лиловом
откуда? И зачем она
ступает по корням еловым
в прекрасном парке давних лет?
И там, где парк впадает в лес,
лесничий ею очарован.
Развязный! Как он смел взглянуть
прилежным взором благосклонным?
Та, в платье нежном и лиловом,
строга и продолжает путь.
Что мне до женщины в лиловом?
Зачем меня тоска берет,
что будет этот детский рот
ничтожным кем-то поцелован?
Зачем мне жизнь ее грустна?
В дому, ей чуждом и суровом,
родимая и вся в лиловом,
кем мне приходится она?
Неужто розовой, в лиловом,
столь не желавшей умирать, -
все ж умереть?
А где тетрадь,
чтоб грусть мою упрочить словом?

",[]
