,Фамилия,Имя,Отчество,Название,Текст,Год
190,Лермонтов,Михаил,Юрьевич,Нарышкиной (Всем жалко вас...),"


Всем жалко вас: вы так устали!
Вы не хотели танцевать —
И целый вечер танцевали!
Как наконец не перестать?..
Но если б все ценить умели
Ваш ум, любезность ваших слов,—
Клянусь бессмертием богов —
Тогда б мазурки опустели. ",1831
191,Лермонтов,Михаил,Юрьевич,* * *,"


Настанет день – и миром осужденный,


 Чужой в родном краю,
На месте казни – гордый, хоть презренный –


 Я кончу жизнь мою;
Виновный пред людьми, не пред тобою,


 Я твердо жду тот час;
Что смерть?– лишь ты не изменись душою –


 Смерть не разрознит нас.
Иная есть страна, где предрассудки


 Любви не охладят,
Где не отнимет счастия из шутки,


 Как здесь, у брата брат.
Когда же весть кровавая примчится


 О гибели моей
И как победе станут веселиться


 Толпы других людей;
Тогда... молю!– единою слезою


 Почти холодный прах
Того, кто часто с скрытною тоскою


 Искал в твоих очах...
Блаженства юных лет и сожаленья;


 Кто пред тобой открыл
Таинственную душу и мученья,


 Которых жертвой был.
Но если, если над моим позором


 Смеяться станешь ты
И возмутишь неправедным укором


 И речью клеветы
Обиженную тень, – не жди пощады;


 Как червь к душе твоей
Я прилеплюсь, и каждый миг отрады


 Несносен будет ей,
И будешь помнить прежнюю беспечность,


 Не зная воскресить,
И будет жизнь тебе долга, как вечность,


 А все не будешь жить. ",1831
192,Лермонтов,Михаил,Юрьевич,Не верь себе,"
Que nous font apres tout les vulgaires aboisDe tous ces charlatans qui donnent de la voix,Les marchands de pathos et les faiseurs d’emphaseEt tous les baladins qui dansent sur la phrase? 
A. Barbier?

Не верь, не верь себе, мечтатель молодой, Как язвы бойся вдохновенья... Оно - тяжелый бред души твоей больной, Иль пленной мысли раздраженье. 
В нем признака небес напрасно не ищи: - То кровь кипит, то сил избыток! Скорее жизнь свою в заботах истощи, Разлей отравленный напиток! 
Случится ли тебе в заветный, чудный миг Отрыть в душе давно-безмолвной Еще неведомый и девственный родник, Простых и сладких звуков полный, - 
Не вслушивайся в них, не предавайся им, Набрось на них покров забвенья: Стихом размеренным и словом ледяным Не передашь ты их значенья. 
Закрадется ль печаль в тайник души твоей, Зайдет ли страсть с грозой и вьюгой, - Не выходи тогда на шумный пир людей С своею бешеной подругой; 
Не унижай себя. Стыдися торговать То гневом, то тоской послушной, И гной душевных ран надменно выставлять На диво черни простодушной. 

Какое дело нам, страдал ты или нет? На что нам знать твои волненья, Надежды глупые первоначальных лет, Рассудка злые сожаленья? 
Взгляни: перед тобой играючи идет Толпа дорогою привычной; На лицах праздничных чуть виден след забот, Слезы не встретишь неприличной. 
А между тем из них едва ли есть один, Тяжелой пыткой неизмятый, До преждевременных добравшийся морщин Без преступленья иль утраты!... 
Поверь: для них смешон твой плач и твой укор, С своим напевом заучённым, Как разрумяненный трагический актёр, Махающий мечом картонным. 

------------------------------------? Какое нам, в конце концов, дело до грубогокрика всех этих горланящих шарлатанов, торговцевпафосом, мастеров напыщенности и всех плясунов,танцующих на фразе?
О. Барбье (франц.)
 ",
193,Лермонтов,Михаил,Юрьевич,"Не плачь, не плачь, мое дитя...","
Не плачь, не плачь, мое дитя,Не стоит он безумной муки.Верь, он ласкал тебя шутя,Верь, он любил тебя от скуки!И мало ль в Грузии у насПрекрасных юношей найдется?Быстрей огонь их черных глаз,И черный ус их лучше вьется! 

Из дальней, чуждой стороныОн к нам заброшен был судьбою;Он ищет славы и войны, -И что ж он мог найти с тобою?Тебя он золотом дарил,Клялся, что вечно не изменит,Он ласки дорого ценил -Но слез твоих он не оценит!
 ",
194,Лермонтов,Михаил,Юрьевич,* * *,"


Не смейся над моей пророческой тоскою;
Я знал: удар судьбы меня не обойдет;
Я знал, что голова, любимая тобою,


 С твоей груди на плаху перейдет;
Я говорил тебе: ни счастия, ни славы
Мне в мире не найти; настанет час кровавый,


 И я паду, и хитрая вражда
С улыбкой очернит мой недоцветший гений;


 И я погибну без следа


 Моих надежд, моих мучений,
Но я без страха жду довременный конец.


 Давно пора мне мир увидеть новый;


 Пускай толпа растопчет мой венец:


Венец певца, венец терновый!..


Пускай! я им не дорожил. ",1837
195,Лермонтов,Михаил,Юрьевич,Небо и звезды,"
Чисто вечернее небо, Ясны далекие звезды, Ясны как счастье ребенка;О! для чего мне нельзя и подумать:Звезды, вы ясны, как счастье мое! 
 Чем ты несчастлив, Скажут мне люди? - Тем я несчастлив,Добрые люди, что звезды и небо -- Звезды и небо! - а я человек!... 


Люди друг к другу

Зависть питают;

Я же, напротив,Только завидую звездам прекрасным,Только их место занять бы желал.
 ",
196,Лермонтов,Михаил,Юрьевич,Незабудка,"
(Сказка)


В старинны годы люди были
Совсем не то, что в наши дни;
(Коль в мире есть любовь) любили
Чистосердечнее они.
О древней верности, конечно,
Слыхали как–нибудь и вы,
Но как сказания молвы
Всё дело перепортят вечно,
То я вам точный образец
Хочу представить наконец.
У влаги ручейка холодной,
Под тенью липовых ветвей,
Не опасаясь злых очей,
Однажды рыцарь благородный
Сидел с любезною своей...
Тихонько ручкой молодою
Она красавца обняла.
Полна невинной простотою,
Беседа мирная текла.


«Друг,— не клянися мне напрасно,
Сказала дева,— верю я;
Ясна, чиста любовь твоя,
Как эта звонкая струя,
Как этот свод над нами ясный;
Но как она в тебе сильна,
Еще не знаю. Посмотри–ка,
Там рдеет пышная гвоздика,
Но нет: гвоздика не нужна;
Подалее, как ты унылый,
Чуть виден голубой цветок...
Сорви же мне его, мой милый:
Он для любви не так далек!»


Вскочил мой рыцарь, восхищенный
Ее душевной

простотой;
Через ручей прыгнув, стрелой
Летит он цветик драгоценный
Сорвать поспешною рукой...
Уж близко цель его стремленья,
Как вдруг под ним (ужасный вид)
Земля неверная дрожит,
Он вязнет, нет ему спасенья!..
Взор кинув, полный весь огня,
Своей красавице безгласной:
«Прости, не позабудь меня!»—
Воскликнул юноша несчастный;
И мигом пагубный цветок
Схватил рукою безнадежной
И сердца пылкого в залог
Его он кинул деве нежной.


Цветок печальный с этих пор
Любови дорог; сердце бьется,
Когда его приметит взор.
Он незабудкою зовется;
В местах сырых, вблизи болот,
Как бы страшась прикосновенья,
Он ищет там уединенья,
И цветом неба он цветет,
Где смерти нет и нет забвенья...


Вот повести конец моей;
Судите: быль иль небылица.
А виновата ли девица —
Сказала, верно, совесть ей! ",1830
197,Лермонтов,Михаил,Юрьевич,* * *,"


Нередко люди и бранили,
И мучили меня за то,
Что часто им прощал я то,
Чего б они мне не простили.


И начал рок меня томить.
Карал безвинно и за дело –
От сердца чувство отлетело,
И я не мог ему простить.


Я снова меж людей явился
С холодным, сумрачным челом;
Но взгляд, куда б ни обратился,
Встречался с радостным лицом! ",1830
198,Лермонтов,Михаил,Юрьевич,* * *,"


Нет, не тебя так пылко я люблю,
Не для меня красы твоей блистанье:
Люблю в тебе я прошлое страданье
И молодость погибшую мою.


Когда порой я на тебя смотрю,
В твои глаза вникая долгим взором:
Таинственным я занят разговором,
Но не с тобой я сердцем говорю.


Я говорю с подругой юных дней,
В твоих чертах ищу черты другие,
В устах живых уста давно немые,
В глазах огонь угаснувших очей. ",1841
199,Лермонтов,Михаил,Юрьевич,* * *,"


Нет, я не Байрон, я другой,
Еще неведомый избранник,
Как он, гонимый миром странник,
Но только с русскою душой.
Я раньше начал, кончу ране,
Мой ум немного совершит;
В душе моей, как в океане,
Надежд разбитых груз лежит.
Кто может, океан угрюмый,
Твои изведать тайны? Кто
Толпе мои расскажет думы?
Я – или бог – или никто! ",1832
200,Лермонтов,Михаил,Юрьевич,Никто моим словам не внемлет... я один...,"
Никто моим словам не внемлет... я один.День гаснет... красными рисуясь полосами,На запад уклонились тучи и каминТрещит передо мной. - Я полон весь мечтами,О будущем... и дни мои толпойОднообразною проходят предо мной,И тщетно я ищу смущенными очамиМеж них хоть день один, отмеченный судьбой!
 ",
201,Лермонтов,Михаил,Юрьевич,* * *,"


Никто, никто, никто не усладил
В изгнанье сем тоски мятежной!
Любить?– три раза я любил,
Любил три раза безнадежно. ",1830
202,Лермонтов,Михаил,Юрьевич,Нищий,"


У врат обители святой
Стоял просящий подаянья
Бедняк иссохший, чуть живой
От глада, жажды и страданья.


Куска лишь хлеба он просил,
И взор являл живую муку,
И кто–то камень положил
В его протянутую руку.


Так я молил твоей любви
С слезами горькими, с тоскою;
Так чувства лучшие мои
Обмануты навек тобою! ",1830
203,Лермонтов,Михаил,Юрьевич,Новгород,"


Сыны снегов, сыны славян,
Зачем вы мужеством упали?
Зачем?.. Погибнет ваш тиран,
Как все тираны погибали!..
До наших дней при имени свободы
Трепещет ваше сердце и кипит!..
Есть бедный град, там видели народы
Всё то, к чему теперь ваш дух летит.


3 октября 
 ",1830
204,Лермонтов,Михаил,Юрьевич,Новогодние мадригалы и эпиграммы,"
Вы не знавали князь Петра;Танцует, пишет он порою,От ног его и от пераМосковским дурам нет покою;Ему устать бы уж пора,Ногами - но не головою. 

Алябьевой
Вам красота чтобы блеснутьДана;В глазах душа чтоб обманутьВидна!...Но звал ли вас хоть кто-нибудь:Она? 


Бартеньевой
Скажи мне: где перенялаТы обольстительные звуки,И как соединить моглаОтзывы радости и муки? 
Премудрой мыслию вникалЯ в песни ада, в песни рая,Но что ж? - нигде я не слыхалТого, что слышал от тебя я! 

Башилову
Вы старшина собранья верно,Так я прошу вас объявить,Могу ль я здесь нелицемерноВ глаза всем правду говорить? -Авось, авось займет нас деломИль хоть забавит новый год,Когда один в собраньи целомЕму на встречу не солжет;Итак я вас не поздравляю;Что год сей даст вам - знает бог.Зато минувший, уверяю,Отмстил за вас как только мог! - 

Булгакову
На вздор и шалости ты хват

 И мастер на безделкиИ, шутовской надев наряд,

 Ты был в своей тарелке;За службу долгую и труд

 Авось на место классаТебе, мой друг, по смерть дадут

 Чин и мундир паяса. 

Бухариной
Не чудно ль, что зовут вас Вера? -Ужели можно верить вам? -Нет, я не дам своим друзьямТакого страшного примера!.....Поверить стоит раз... но что ж? -Ведь сам раскаиваться будешь,Закона веры не забудешьИ старовером прослывешь! - 

Г. Павлову
Как вас зовут? ужель поэтом? -Поймет ли мир небесный глас?Я вас прошу в последний раз,Не называйтесь так пред светом:Фигляром назовет он вас! - 
Пускай никто про вас не скажет:Вот стихотворец, вот поэт;Вас этот титул только свяжетИ будет целью всех клевет;С ним привилегий вовсе нет. - 

Додо
Умеешь ты сердца тревожить,Толпу очей остановить,Улыбкой гордой уничтожить,Улыбкой нежной оживить; Умеешь ты польстить случайноС холодной важностью лицаИ умника унизить тайно,Взяв пылко сторону глупца! -Как в Талисмане стих небрежныйКак над пучиною мятежной.Свободный парус челнока,Ты беззаботна и легка.Тебя не понял север хладный;В наш круг ты брошена судьбой,Как божество страны чужой,Как в день печали миг отрадный! - 

Кропоткиной
Я оклеветан перед вами;Как оправдаться я могу?Ужели клятвами, словами? -Но как же! - я сегодня лгу!... 

Л. Нарышкиной
Всем жалко вас: вы так устали!Вы не хотели танцоватьИ целый вечер танцовали! -Как наконец не перестать?... Но если б все ценить умелиВаш ум, любезность ваших слов, -Клянусь бессмертием богов -Тогда б мазурки опустели. 

Мартыновой
Когда поспорить вам придется,Не спорьте никогда о том,Что невозможно быть с умомТому, кто в этом признается;Кто с вами раз поговорил,Тот с вами вечно спорить будет,Что ум ваш вечно не забудетИ что другое все забыл! 

Н. Ф. И.
Дай бог, чтоб вечно вы не знали,Что значат толки дураков,И чтоб вам не было печалиОт шпор, мундира и усов; 
Дай бог, чтоб вас не огорчалиСоперниц ложные красы,Чтобы у ног вы увидалиМундир, и шпоры, и усы! 

Николаю Николаевичу Арсеньеву
Дай бог, чтоб ты не соблазнялсяПриманкой сладкой бытия,Чтоб дух твой в небо не умчался,Чтоб не иссякла плоть твоя;Пусть покровительство судьбиныПовсюду будет над тобой,Чтоб ум твой не вскружили виныИ взор красавицы младой;Ланиты и вино нередкоФальшивой краскою блестят;Вино поддельное, кокетка,Для головы и сердца - яд! - 

Сабуровой
Как? вы поэта огорчилиИ не наказаны потом?Три года ровно вы шутилиЕго любовью и умом?Нет! вы не поняли поэта,Его души печальный сон;Вы небом созданы для света,Но не для вас был создан он!.... 

Толстой
Не даром она, не даромС отставным гусаром. 

Трубецкому
Нет! мир совсем пошел не так;Обиняков не понимают;Скажи не просто: ты дурак,За комплимент уж принимают? - -Все то, на чем ума печать,Они привыкли ненавидеть! -Так стану ж умным называть,Когда захочется обидеть! 

Уваровой
Вы мне однажды говорили,Что не привыкли в свете жить:Не спорю в этом; - но не вы лиСебя заставили любить?Все, что привычкою другиеПриобретают - вы душой: -И что у них слова пустые,То не обман у вас одной! - 

Щербатовой
Поверю ль я, чтоб вы хотелиПокинуть общество Москвы, Когда от самой колыбелиЕе кумиром были вы? -Что даст вам скучный брег Невы:Ужель там больше веселятся,Ужели балов больше там?Нет! как мудрец скажу я вам:Гораздо лучше оставаться.
 ",
205,Лермонтов,Михаил,Юрьевич,Ночь,"


Один я в тишине ночной.
Свеча сгоревшая трещит,
Перо в тетрадке записной
Головку женскую чертит:
Воспоминанье о былом,
Как тень, в кровавой пелене
Спешит указывать перстом
На то, что было мило мне.


Слова, которые могли
Меня тревожить в те года,
Пылают предо мной вдали,
Хоть мной забыты навсегда.
И там скелеты прошлых лет
Стоят унылою толпой;
Меж ними есть один скелет —
Он обладал моей душой.


Как мог я не любить тот взор?
Презренья женского кинжал
Меня пронзил… Но нет — с тех пор
Я всё любил — я всё страдал.
Сей взор невыносимый, он
Бежит за мною, как призра́к;
И я до гроба осужден
Другого не любить никак.


О! я завидую другим!
В кругу семейственном, в тиши,
Смеяться просто можно им
И веселиться от души.
Мой смех тяжел мне как свинец:
Он плод сердечной пустоты…
О боже! вот что, наконец
Я вижу, мне готовил ты.


Возможно ль! первую любовь
Такою горечью облить,
Притворством взволновав мне кровь,
Хотеть насмешкой остудить?
Желал я на другой предмет
Излить огонь страстей своих.
Но память, слезы первых лет —
Кто устоит противу них?
 ",
206,Лермонтов,Михаил,Юрьевич,Ночь. I,"
Я зрел во сне, что будто умер я;Душа, не слыша на себе оковТелесных, рассмотреть могла б яснееВесь мир - но было ей не до того;Боязненное чувство занималоЕе; я мчался без дорог; пред мноюНе серое, не голубое небо(И мнилося, не небо было то,А тусклое, бездушное пространство)Виднелось; и ничто вокруг меняРазличных теней кинуть не могло,Которые по нем мелькали;И два противных диких звуков,Два отголоска целыя природы,Боролися - и ни один из нихНе мог назваться побежденным. СтрахПрипомнить жизни гнусные деянья,Иль о добре свершенном возгордиться,Мешал мне мыслить; и летел, летел яДалёко без желания и цели - И встретился мне светозарный ангел;И так, сверкнувши взором, мне сказал:«Сын праха - ты грешил - и наказанье Должно тебя постигнуть как других;Спустись на землю - где твой трупЗарыт; ступай и там живи, и жди,Пока придет спаситель - и молись.......Молись - страдай.. и выстрадай прощенье...И снова я увидел край земной;Досадой вид его меня наполнил,И боль душевных ран, на краткий мигЛишь заглушенная боязнью, с новой силой,Огнем отчаянья возобновилась;И (странно мне), когда увидел ту,Которую любил так сильно прежде,Я чувствовал один холодный трепетДосады горькой - и толпа друзейЛикующих меня не удержала,С презрением на кубки я взглянул,Где грех с вином кипел - воспоминаньеВ меня впилось когтями, - я вздохнул,Так глубоко, как только может мертвый - И полетел к своей могиле. Ах!Как беден тот, кто видит наконецСвое ничтожество, и в чьих глазахВсе, для чего трудился долго он - На воздух разлетелось.......И я сошел в темницу, узкий гроб,Где гнил мой труп - и там остался я;Здесь кость была уже видна - здесь мясоКусками синее висело - жилы тамЯ примечал с засохшею в них кровью.....С отчаяньем сидел я и взирал,Как быстро насекомые роилисьИ поедали жадно свою пищу;Червяк то выползал из впадин глаз,То вновь скрывался в безобразный череп,И каждое его движеньеМеня терзало судорожной болью.Я должен был смотреть на гибель друга,Так долго жившего с моей душою, Последнего, единственного друга,Делившего ее земные муки - И я помочь ему желал - но тщетно -Уничтоженья быстрые следыТекли по нем - и черви умножались;Они дрались за пищу остальнуюИ смрадную сырую кожу грызли,Остались кости - и они исчезли;В гробу был прах... и больше ничего.......Одною полон мрачною заботой,Я припадал на бренные останки,Стараясь их дыханием согреть...О сколько б я тогда отдал земныхБлаженств, чтоб хоть одну - одну минутуПочувствовать в них теплоту. - Напрасно,Они остались хладны - хладны - как презренье!..Тогда я бросил дикие проклятьяНа моего отца и мать, на всех людей, -И мне блеснула мысль: - (творенье ада)Что если время совершит свой кругИ погрузится в вечность невозвратно,И ничего меня не успокоит,И не придут сюда простить меня? -........- И я хотел изречь хулы на небо -Хотел сказать:......Но голос замер мой - и я проснулся.
 ",
207,Лермонтов,Михаил,Юрьевич,Ночь. II,"


Погаснул день!– и тьма ночная своды
Небесные как саваном покрыла.
Кой–где во тьме вертелись и мелькали
Светящиеся точки,
И между них земля вертелась наша;
На ней, спокойствием объятой тихим,
Уснуло все – и я один лишь не спал.
Один я не спал... страшным полусветом,
Меж радостью и горестью срединой,
Мое теснилось сердце – и желал я
Веселие или печаль умножить
Воспоминаньем о убитой жизни:
Последнее, однако, было легче!..


Вот с запада Скелет неизмеримый
По мрачным сводам начал подниматься
И звезды заслонил собою...
И целые миры пред ним уничтожались,
И все трещало под его шагами, –
Ничтожество за ними оставалось –
И вот приблизился к земному шару
Гигант всесильный – все на ней уснуло,
Ничто встревожиться не мыслило – единый,
Единый смертный видел, что не дай бог
Созданию живому видеть...
И вот он поднял костяные руки –
И в каждой он держал по человеку,
Дрожащему – и мне они знакомы были –
И кинул взор на них я – и заплакал!
И странный голос вдруг раздался: «Малодушный!
Сын праха и забвения, не ты ли,
Изнемогая в муках нестерпимых,
Ко мне взывал – я здесь: я смерть!..
Мое владычество безбрежно!..
Вот двое.– Ты их знаешь – ты любил их...
Один из них погибнет.– Позволяю
Определить неизбежимый жребий...
И ты умрешь, и в вечности погибнешь –
И их нигде, нигде вторично не увидишь –
Знай, как исчезнет время, так и люди,
Его рожденье – только бог лишь вечен...
Решись, несчастный!..»


 Тут невольный трепет
По мне мгновенно начал разливаться,
И зубы, крепко застучав, мешали
Словам жестоким вырваться из груди;
И наконец, преодолев свой ужас,
К скелету я воскликнул: «Оба, оба!..
Я верю: нет свиданья – нет разлуки!..
Они довольно жили, чтобы вечно
Продлилося их наказанье.
Ах! – и меня возьми, земного червя –
И землю раздроби, гнездо разврата,
Безумства и печали!..
Все, все берет она у нас обманом
И не дарит нам ничего – кроме рожденья!..
Проклятье этому подарку!..
Мы без него тебя бы не знавали,
Поэтому и тщетной, бедной жизни,
Где нет надежд – и всюду опасенья.
Да гибнут же друзья мои, да гибнут!..
Лишь об одном я буду плакать:
Зачем они не дети!..»


И видел я, как руки костяные
Моих друзей сдавили, – их не стало –
Не стало даже призраков и теней...
Туманом облачился образ смерти,
И – так пошел на север. Долго, долго,
Ломая руки и глотая слезы,
Я на творца роптал, страшась молиться! ",1830
208,Лермонтов,Михаил,Юрьевич,Ночь. III,"
Темно. Все спит. Лишь только жук ночнойЖужжа в долине пролетит порой;Из-под травы блистает червячёк,От наших дум, от наших бурь далек.Высоких лип стал пасмурней навес,Когда луна взошла среди небес...Нет, в первый раз прелестна так она! - Он здесь. Стоит. Как мрамор, у окна.Тень от него чернеет по стене. - Недвижный взор поднят, но не к луне;Он полон всем, чем только яд страстейУжасен был и мил сердцам людей. - Свеча горит, забыта на столе,И блеск ее с лучом луны в стеклеМешается, играет, как любвиОгонь живой с презрением, в крови! - Кто ж он? кто ж он, сей нарушитель сна?Чем эта грудь мятежная полна?О если б вы умели угадатьВ его очах, что хочет он скрывать! - О если б мог единый бедный другХотя смягчить души его недуг!
 ",
209,Лермонтов,Михаил,Юрьевич,* * *,"


Один среди людского шума,
Возрос под сенью чуждой я.
И гордо творческая дума
На сердце зрела у меня.
И вот прошли мои мученья,
Нашлися пылкие друзья,
Но я, лишенный вдохновенья,
Скучал судьбою бытия.
И снова муки посетили
Мою воскреснувшую грудь.
Измены душу заразили
И не давали отдохнуть.
Я вспомнил прежние несчастья,
Но не найду в душе моей
Ни честолюбья, ни участья,
Ни слез, ни пламенных страстей. ",1830
210,Лермонтов,Михаил,Юрьевич,Одиночество,"


Как страшно жизни сей оковы
Нам в одиночестве влачить.
Делить веселье – все готовы:
Никто не хочет грусть делить.


Один я здесь, как царь воздушный,
Страданья в сердце стеснены,
И вижу, как судьбе послушно,
Года уходят, будто сны;


И вновь приходят, с позлащенной,
Но той же старою мечтой,
И вижу гроб уединенный,
Он ждет; что ж медлить над землей?


Никто о том не покрушится,
И будут (я уверен в том)
О смерти больше веселится,
Чем о рождении моем... ",1830
211,Лермонтов,Михаил,Юрьевич,Он был в краю святом...,"
Он был в краю святом,На холмах Палестины.Стальной его шеломИссекли сарацины. 
Понес он в край святойЦветущие ланиты;Вернулся он домойПлешивый и избитый. 
Неверных он громилОбеими руками - Ни жен их не щадил,Ни малых с стариками. 
Встречаясь с ним подчас,Смущалися красотки;Он п.... их не раз,Перебирая чётки. 
Вернулся он в свой домБез славы и без злата;Глядит - детей содом,Жена его брюхата. 
Пришибло старика...
 ",
212,Лермонтов,Михаил,Юрьевич,* * *,"


Он был рожден для счастья, для надежд
И вдохновений мирных!— но безумный
Из детских рано вырвался одежд
И сердце бросил в море жизни шумной;
И мир не пощадил — и бог не спас!
Так сочный плод, до времени созрелый,
Между цветов висит осиротелый;
Ни вкуса он не радует, ни глаз;
И час их красоты — его паденья час!


И жадный червь его грызет, грызет,
И между тем как нежные подруги
Колеблются на ветках — ранний плод
Лишь тяготит свою... до первой вьюги!
Ужасно стариком быть без седин;
Он равных не находит; за толпою
Идет, хоть с ней не делится душою;
Он меж людьми ни раб, ни властелин,
И всё, что чувствует, он чувствует один! ",1832
213,Лермонтов,Михаил,Юрьевич,"Она была прекрасна, как мечта...","
Она была прекрасна, как мечтаРебенка под светилом южных стран;Кто объяснит, что значит красота:Грудь полная иль стройный гибкий станИли большие очи? - но поройВсе это не зовем мы красотой:Уста без слов - любить никто не мог;Взор без огня - без запаха цветок! -О небо, я клянусь, она былаПрекрасна!... я горел, я трепетал,Когда кудрей, сбегающих с чела,Шелк золотой рукой своей встречал,Я был готов упасть к ногам её,Отдать ей волю, жизнь, и рай, и все,Чтоб получить один, один лишь взглядИз тех, которых все блаженство - яд!
 ",
214,Лермонтов,Михаил,Юрьевич,Она не гордой красотою...,"
Она не гордой красотоюПрельщает юношей живых,Она не водит за собоюТолпу вздыхателей немых.И стан ее не стан богини,И грудь волною не встает,И в ней никто своей святыни,Припав к земле, не признает;Однако все ее движенья,Улыбки, речи и чертыТак полны жизни, вдохновенья,Так полны чудной простоты.Но голос душу проникаетКак вспоминанье лучших дней,И сердце любит и страдает,Почти стыдясь любви своей.
 ",
215,Лермонтов,Михаил,Юрьевич,* * *,"


Она поет — и звуки тают,
Как поцелуи на устах,
Глядит — и небеса играют
В ее божественных глазах;


Идет ли — все ее движенья,
Иль молвит слово — все черты
Так полны чувства, выраженья,
Так полны дивной простоты.


–
 ","1837', '1838"
216,Лермонтов,Михаил,Юрьевич,Они любили друг друга так долго и нежно...,"
Sie Iiebten sich beide, doch keinerWollt’es dem andern gestehn.Heine.

Они любили друг друга так долго и нежно,С тоской глубокой и страстью безумно-мятежной!Но как враги избегали признанья и встречи,И были пусты и хладны их краткие речи. 

Они расстались в безмолвном и гордом страданье,И милый образ во сне лишь порою видали. -И смерть пришла: наступило за гробом свиданье...Но в мире новом друг друга они не узнали.
 ",
217,Лермонтов,Михаил,Юрьевич,Опасение,"


Страшись любви: она пройдет,
Она мечтой твой ум встревожит,
Тоска по ней тебя убьет,
Ничто воскреснуть не поможет.


Краса, любимая тобой,
Тебе отдаст, положим, руку...
Года мелькнут... летун седой
Укажет вечную разлуку...


И беден, жалок будешь ты,
Глядящий с кресел иль подушки
На безобразные черты
Твоей докучливой старушки,


Коль мысли о былых летах
В твой ум закрадутся порою
И вспомнишь, как на сих щеках
Играло жизнью молодою...


Без друга лучше жизнь влачить
И к смерти радостней клониться,
Чем два удара выносить
И сердцем о двоих крушиться!.. ",1830
218,Лермонтов,Михаил,Юрьевич,Оправдание,"
Когда одни воспоминаньяО заблуждениях страстей,На место славного названья,Твой друг оставит меж людей, - 

И будет спать в земле безгласноТо сердце, где кипела кровь,Где так безумно, так напрасноС враждой боролася любовь, - 

Когда пред общим приговоромТы смолкнешь, голову склоня,И будет для тебя позоромЛюбовь безгрешная твоя, - 

Того, кто страстью и порокомЗатмил твои младые дни,Молю: язвительным упрекомТы в оный час не помяни. 

Но пред судом толпы лукавойСкажи, что судит нас Иной,И что прощать святое правоСтраданьем куплено тобой.
 ",
219,Лермонтов,Михаил,Юрьевич,"Опять, народные витии...","
1
Опять, народные витии,За дело падшее ЛитвыНа славу гордую РоссииОпять шумя восстали вы.Уж вас казнил могучим словомПоэт, восставший в блеске новомОт продолжительного сна,И порицания покровомОдел он ваши имена. 


 2
Что это: вызов ли надменный,На битву ль бешеный призыв?Иль голос зависти смущенной,Бессилья злобного порыв?..Да, хитрой зависти ехиднаВас пожирает; вам обиднаВеличья нашего заря;Вам солнца божьего не видноЗа солнцем русского царя. 


 3
Давно привыкшие венцамиИ уважением играть, Вы мнили грязными рукамиВенец блестящий запятнать.Вам непонятно, вам несродноВсе, что высоко, благородно;Не знали вы, что грозный щитЛюбви и гордости народнойОт вас венец тот сохранит. 


 4
Безумцы мелкие, вы правы,Мы чужды ложного стыда!Так нераздельны в деле славыНарод и царь его всегда.Веленьям власти благотворнойМы повинуемся покорноИ верим нашему царю!И будем все стоять упорноЗа честь его как за свою. 


 5
................... 


 6
Но честь России невредима.И вам смеясь внимает свет...Так в дни воинственные Рима,Во дни торжественных побед,Когда триумфом шел ФабрицийИ раздавался по столицеВосторга благодарный клик,Бежал за светлой колесницейОдин наемный клеветник. 
		
 ",1835
