,Автор стихов,Название,Текст,Год
180,Пушкин,Зимний вечер,"

Буря мглою небо кроет,
Вихри снежные крутя;
То, как зверь, она завоет,
То заплачет, как дитя,
То по кровле обветшалой
Вдруг соломой зашумит,
То, как путник запоздалый,
К нам в окошко застучит.

Наша ветхая лачужка
И печальна и темна.
Что же ты, моя старушка,
Приумолкла у окна?
Или бури завываньем
Ты, мой друг, утомлена,
Или дремлешь под жужжаньем
Своего веретена?

Выпьем, добрая подружка
Бедной юности моей,
Выпьем с горя; где же кружка?
Сердцу будет веселей.
Спой мне песню, как синица
Тихо за морем жила;
Спой мне песню, как девица
За водой поутру шла.

Буря мглою небо кроет,
Вихри снежные крутя;
То, как зверь, она завоет,
То заплачет, как дитя.
Выпьем, добрая подружка
Бедной юности моей,
Выпьем с горя: где же кружка?
Сердцу будет веселей. ",1825
181,Пушкин,Зимняя дорога,"

Сквозь волнистые туманы
Пробирается луна,
На печальные поляны
Льет печально свет она.

По дороге зимней, скучной
Тройка борзая бежит,
Колокольчик однозвучный
Утомительно гремит.

Что–то слышится родное
В долгих песнях ямщика:
То разгулье удалое,
То сердечная тоска...

Ни огня, ни черной хаты...
Глушь и снег... 
Навстречу мне
Только версты полосаты
Попадаются одне.

Скучно, грустно... 
Завтра, 
Нина,
Завтра, к милой возвратясь,
Я забудусь у камина,
Загляжусь не наглядясь.

Звучно стрелка часовая
Мерный круг свой совершит,
И, докучных удаляя,
Полночь нас не разлучит.

Грустно, 
Нина: путь мой скучен,
Дремля смолкнул мой ямщик,
Колокольчик однозвучен,
Отуманен лунный лик. ",1826
182,Пушкин,Золото и булат,"

«
Все мое», – сказало злато;
«
Все мое», – сказал булат.
«
Все куплю», – сказало злато;
«
Все возьму», – сказал булат. ",1827
183,Пушкин,* * *,"

Зорю бьют... из рук моих
Ветхий 
Данте выпадает,
На устах начатый стих
Недочитанный затих –
Дух далече улетает.
Звук привычный, звук живой,
Сколь ты часто раздавался
Там, где тихо развивался
Я давнишнею порой. ",1829
184,Пушкин,* * *,"

И вот ущелье мрачных скал
Пред нами шире становится,
Но тише 
Терек злой стремится,
Луч солнца ярче засиял. ",1829
185,Пушкин,* * *,"

I

И дале мы пошли – и страх обнял меня.
Бесенок, под себя поджав свое копыто,
Крутил ростовщика у адского огня.

Горячий капал жир в копченое корыто,
И лопал на огне печеный ростовщик.
А я: «
Поведай мне: в сей казни что сокрыто?»

Виргилий мне: «
Мой сын, сей казни смысл велик:
Одно стяжание имев всегда в предмете,
Жир должников своих сосал сей злой старик

И их безжалостно крутил на вашем свете.»
Тут грешник жареный протяжно возопил:
«
О, если б я теперь тонул в холодной 
Лете!

О, если б зимний дождь мне кожу остудил!
Сто на сто я терплю: процент неимоверный!» –
Тут звучно лопнул он – я взоры потупил.

Тогда услышал я (о диво!) запах скверный,
Как будто тухлое разбилось яицо,
Иль карантинный страж курил жаровней серной.

Я, нос себе зажав, отворотил лицо.
Но мудрый вождь тащил меня всё дале, дале –
И, камень приподняв за медное кольцо,

Сошли мы вниз – и я узрел себя в подвале.

I
I

Тогда я демонов увидел черный рой,
Подобный издали ватаге муравьиной –
И бесы тешились проклятою игрой:

До свода адского касалася вершиной
Гора стеклянная, как 
Арарат остра –
И разлегалася над темною равниной.

И бесы, раскалив как жар чугун ядра,
Пустили вниз его смердящими когтями;
Ядро запрыгало – и гладкая гора,

Звеня, растрескалась колючими звездами.
Тогда других чертей нетерпеливый рой
За жертвой кинулся с ужасными словами.

Схватили под руки жену с ее сестрой,
И заголили их, и вниз пихнули с криком –
И обе сидючи пустились вниз стрелой...

Порыв отчаянья я внял в их вопле диком;
Стекло их резало, впивалось в тело им –
А бесы прыгали в веселии великом.

Я издали глядел – смущением томим. ",1832
186,Пушкин,И останешься с вопросом...,"
И останешься с вопросом
На брегу замерзлых вод:«
Мамзель 
Шредер с красным носом
Милых 
Вельо не ведет?»
? ()
 ",1813-1817
187,Пушкин,* * *,"

И я слыхал, что 
Божий свет
Единой дружбою прекрасен,
Что без нее отрады нет,
Что жизни б путь нам был ужасен,
Когда б не тихой дружбы свет.
Но слушай — чувство есть другое:
Оно и нежит и томит,
В трудах, заботах и в покое
Всегда не дремлет и горит;
Оно мучительно, жестоко,
Оно всю душу в нас мертвит,
Коль язвы тяжкой и глубокой
Елей надежды не живит...
Вот страсть, которой я сгораю!
Я вяну, гибну в цвете лет,
Но исцелиться не желаю... ",1818
188,Пушкин,И.В.Сленину,"

Я не люблю альбомов модных:
Их ослепительная смесь
Аспазий наших благородных
Провозглашает только спесь.
Альбом красавицы уездной,
Альбом домашний и простой,
Милей болтливостью любезной
И безыскусной пестротой.
Ни здесь, ни там, скажу я смело,
Являться впрочем не хочу;
Но твой альбом другое дело,
Охотно дань ему плачу.
Тобой питомцам 
Аполлона
Не из тщеславья он открыт:
Цариц ты любишь 
Геликона
И ими сам не позабыт;
Вхожу в него прямым поэтом,
Как в дружеский, приятный дом,
Почтив хозяина приветом
И лар молитвенным стихом. ",1828
189,Пушкин,И.И.Пущину,"

Мой первый друг, мой друг бесценный!
И я судьбу благословил,
Когда мой двор уединенный,
Печальным снегом занесенный,
Твой колокольчик огласил.

Молю святое провиденье:
Да голос мой душе твоей
Дарует то же утешенье,
Да озарит он заточенье
Лучом лицейских ясных дней! ",1826
190,Пушкин,Из Alfieri *,"

Сомненье, страх, порочную надежду
Уже в груди не в силах я хранить;
Неверная супруга я 
Филиппу,
И сына я его любить дерзаю!..
Но как же зреть его и не любить?
Нрав пылкий, добрый, гордый, благородный,
Высокий ум, с наружностью прекрасной
Прекрасная душа... 
Зачем природа
И небеса таким тебя создали?
Что говорю? 
Ах! так ли я успею
Из глубины сердечной милый образ
Искоренить?– 
О, если пламень мой
Подозревать он станет! 
Перед ним
Всегда печальна я; но избегаю
Я встречи с ним. 
Он знает, что веселье
В 
Испании запрещено. 
Кто может
В душе моей читать? 
Ах, и самой
Не можно мне. 
И он, как и другие,
Обманется – и станет, как других,
Он убегать меня... 
Увы, мне, бедной!..
Другого нет мне в горе утешенья,
Окроме слез, и слезы – преступленье.
Иду к себе: там буду на свободе...
Что вижу? 
Карл!– 
Уйдем, мне изменить
И речь и взор – все может: ах, уйдем.

* 
Альфиери. (итал.) ",1827
191,Пушкин,Из А.Шенье,"

Покров, упитанный язвительною кровью,
Кентавра мстящий дар, ревнивою любовью
Алкиду передан. 
Алкид его приял.
В божественной крови яд быстрый побежал.
Се – ярый мученик, в ночи скитаясь, воет;
Стопами тяжкими вершину 
Эты роет;
Гнет, ломит древеса; исторженные пни
Высоко громоздит; его рукой они
В костер навалены; он их зажег; он всходит;
Недвижим на костре он в небо взор возводит;
Под мышцей палица; в ногах немейский лев
Разостлан. 
Дунул ветр; поднялся свист и рев;
Треща горит костер; и вскоре пламя, воя,
Уносит к небесам бессмертный дух героя. ",1835
192,Пушкин,Из Анакреона,"

Узнают коней ретивых
По их выжженным таврам;
Узнают парфян кичливых
По высоким клобукам;
Я любовников счастливых
Узнаю по их глазам:
В них сияет пламень томный –
Наслаждений знак нескромный. ",1835
193,Пушкин,Из Афенея,"

Славная флейта, 
Феон, здесь лежит. 
Предводителя хоров
Старец, ослепший от лет, некогда 
Скирпал родил
И, вдохновенный, нарек младенца 
Феоном. 
За чашей
Сладостно 
Вакха и муз славил приятный 
Феон.
Славил и 
Ватала он, молодого красавца: прохожий!
Мимо гробницы спеша, вымолви: здравствуй 
Феон! ",1832
194,Пушкин,Из Гафиза,"
(
Лагерь при 
Евфрате)

Не пленяйся бранной славой,
О красавец молодой!
Не бросайся в бой кровавый
С карабахскою толпой!
Знаю, смерть тебя не встретит:
Азраил, среди мечей,
Красоту твою заметит –
И пощада будет ей!
Но боюсь: среди сражений
Ты утратишь навсегда
Скромность робкую движений,
Прелесть неги и стыда! ",1829
195,Пушкин,Из Ксенофана Колофонского,"

Чистый лоснится пол; стеклянные чаши блистают;
Все уж увенчаны гости; иной обоняет, зажмурясь,
Ладана сладостный дым; другой открывает амфору,
Запах веселый вина разливая далече; сосуды
Светлой студеной воды, золотистые хлебы, янтарный
Мед и сыр молодой – всё готово; весь убран цветами
Жертвенник. 
Хоры поют. 
Но в начале трапезы, о други,
Должно творить возлиянья, вещать благовещие речи,
Должно бессмертных молить, да сподобят нас чистой душою
Правду блюсти; ведь оно ж и легче. 
Теперь мы приступим:
Каждый в меру свою напивайся. 
Беда не велика
В ночь, возвращаясь домой, на раба опираться; но слава
Гостю, который за чашей беседует мудро и тихо! ",1832
196,Пушкин,Из записки к А.О.Россет,"

От вас узнал я плен 
Варшавы.
…………. .
Вы были вестницею славы
И вдохновеньем для меня. ",1831
197,Пушкин,Из письма к Алексееву,"

Прощай, отшельник бессарабской
Лукавый друг души моей –
Порадуй же меня не сказочкой арабской,
Но русской правдою твоей. ",1826
198,Пушкин,Из письма к В.П. Горчакову,"
Зима мне рыхлою стеною
К воротам заградила путь;
Пока тропинки пред собою
Не протопчу я как-нибудь,
Сижу я дома, как бездельник;
Но ты, душа души моей,
Узнай, что будет в понедельник,
Что скажет наш 
Варфоломей.  ",1823
199,Пушкин,Из письма к Великопольскому (С тобой мне...),"

С тобой мне вновь считаться довелось,
Певец любви то резвый, то унылый;
Играешь ты на лире очень мило,
Играешь ты довольно плохо в штос.
Пятьсот рублей, проигранных тобою,
Наличные свидетели тому.
Судьба моя сходна с твоей судьбою;
Сейчас, мой друг, увидишь почему. ",1826
200,Пушкин,Из письма к Вигелю,"
Проклятый город 
Кишенев!
Тебя бранить язык устанет.
Когда-нибудь на грешный кров
Твоих запачканных домов
Небесный гром конечно грянет,
И - не найду твоих следов!
Падут, погибнут пламенея,
И пестрый дом 
Варфоломея
И лавки грязные жидов:
Так, если верить 
Моисею,
Погиб несчастливый 
Содом.
Но с этим милым городком
Я 
Кишенев равнять не смею,
Я слишком с библией знаком,
И к лести вовсе не привычен.
Содом, ты знаешь, был отличен
Не только вежливым грехом,
Но просвещением, пирами,
Гостеприимными домами
И красотой не строгих дев!
Как жаль, что ранними громами
Его сразил 
Еговы гнев!
В блистательном разврате света,
Хранимый богом человек,
И член верховного совета,
Провел бы я смиренно век
B 
Париже ветхого завета!
Но в 
Кишиневе, знаешь сам,
Нельзя найти ни милых дам,
Ни сводни, ни книгопродавца. - 
Жалею о твоей судьбе!
Не знаю, придут ли к тебе
Под вечер милых три красавца;
Однакож кое-как, мой друг,
Лишь только будет мне досуг,
Явлюся я перед тобою;
Тебе служить я буду рад -
Стихами, прозой, всей душою,
Но, 
Вигель - пощади мой зад!  ",1823
201,Пушкин,Из письма к Вяземскому,"

Любезный 
Вяземский, поэт и камергер...
(
Василья 
Львовича узнал ли ты манер?
Так некогда письмо он начал к камергеру,
Украшенну ключом за верность и за веру)
Так солнце и на нас взглянуло из–за туч!
На заднице твоей сияет тот же ключ.
Ура! хвала и честь поэту–камергеру.
Пожалуй, от меня поздравь княгиню 
Веру. ",1831
202,Пушкин,Из письма к Гнедичу,"
В стране, где 
Юлией венчанный
И хитрым 
Августом изгнанный
Овидий мрачны дни влачил;
Где элегическую лиру
Глухому своему кумиру
Он малодушно посвятил:
Далече северной столицы
Забыл я вечный ваш туман,
И вольный глас моей цевницы
Тревожит сонных молдаван.
Всё тот же я - как был и прежде;
С поклоном не хожу к невежде,
С 
Орловым спорю, мало пью,
Октавию - в слепой надежде - 
Молебнов лести не пою.
И 
Дружбе легкие посланья
Пишу без строгого старанья.
Ты, коему судьба дала
И смелый ум и дух высокой,
И важным песням обрекла,
Отраде жизни одинокой;
О ты, который воскресил
Ахилла призрак величавый,
Гомера 
Музу нам явил
И смелую певицу славы
От звонких уз освободил - 
Твой глас достиг уединенья,
Где я сокрылся от гоненья
Ханжи и гордого глупца,
И вновь он оживил певца,
Как сладкий голос вдохновенья.
Избранник 
Феба! твой привет,
Твои хвалы мне драгоценны;
Для 
Муз и дружбы жив поэт.
Его враги ему презренны - 
Он 
Музу битвой площадной
Не унижает пред народом;
И поучительной лозой
Зоила хлещет - мимоходом. 

 ",1821
203,Пушкин,Из письма к Соболевскому,"

У 
Гальяни иль 
Кольони
Закажи себе в 
Твери
С пармазаном макарони,
Да яишницу свари.

На досуге отобедай
У 
Пожарского в 
Торжке,
Жареных котлет отведай (именно котлет)
И отправься налегке.

Как до 
Яжельбиц дотащит
Колымагу мужичок,
То–то друг мой растаращит
Сладострастный свой глазок!

Поднесут тебе форели!
Тотчас их варить вели,
Как увидишь: посинели, –
Влей в уху стакан шабли.

Чтоб уха была по сердцу,
Можно будет в кипяток
Положить немного перцу,
Луку маленькой кусок.

Яжельбицы – первая станция после 
Валдая.– 
В 
Валдае
спроси, есть ли свежие сельди? если же нет,

У податливых крестьянок
(
Чем и славится 
Валдай)
К чаю накупи баранок
И скорее поезжай. ",1826
204,Пушкин,Из письма к Я.Н. Толстому,"
Горишь ли ты, лампада наша,
Подруга бдений и пиров?
Кипишь ли ты, златая чаша,
В руках веселых остряков?
Всё те же ль вы, друзья веселья,
Друзья 
Киприды и стихов?
Часы любви, часы похмелья
По прежнему ль летят на зов
Свободы, лени и безделья?
В изгнаньи скучном, каждый час
Горя завистливым желаньем,
Я к вам лечу воспоминаньем,
Воображаю, вижу вас:
Вот он, приют гостеприимный,
Приют любви и вольных муз,
Где с ними клятвою взаимной
Скрепили вечный мы союз,
Где дружбы знали мы блаженство,
Где в колпаке за круглый стол
Садилось милое равенство,
Где своенравный произвол
Менял бутылки, разговоры,
Рассказы, песни шалуна:
И разгорались наши споры
От искр и шуток и вина.
Вновь слышу, верные поэты,
Ваш очарованный язык...
Налейте мне вина кометы,
Желай мне здравия, калмык!  ",1822
205,Пушкин,Из письма к Яковлеву,"

Смирдин меня в беду поверг;
У торгаша сего семь пятниц на неделе,
Его четверг на самом деле
Есть после дождичка четверг. ",1836
206,Пушкин,Измены,"
«
Всё миновалось!
Мимо промчалось
Время любви.
Страсти мученья!
В мраке забвенья
Скрылися вы.
Так я премены
Сладость вкусил:
Гордой 
Елены
Цепи забыл.
Сердце, ты в воле!
Всё позабудь;
В новой сей доле
Счастливо будь.
Только весною
Зефир младою
Розой пленен;
В юности страстной 
Был я прекрасной
В сеть увлечен.
Нет, я не буду
Впредь воздыхать,
Страсть позабуду;
Полно страдать!
Скоро печали
Встречу конец.
Ах! для тебя ли,
Юный певец,
Прелесть 
Елены
Розой цветет?..
Пусть весь народ,
Ею прельщенный,
Вслед за мечтой
Мчится толпой;
В мирном жилище,
На пепелище,
В чаше простой
Стану в смиреньи
Черпать забвенье
И - для друзей
Резвой рукою
Двигать струною
Арфы моей».

 
В скучной разлуке
Так я мечтал,
В горести, в муке
Себя услаждал;
В сердце возженный
Образ 
Елены
Мнил истребить.
Прошлой весною
Юную 
Хлою
Вздумал любить.
Как ветерочек
Ранней порой
Гонит листочек
С резвой волной,
Так непрестанно
Непостоянный
Cтрастью играл,
Лилу, 
Темиру,
Всех обожал,
Сердце и лиру
Всем посвящал. - 
Что же? - напрасно
С груди прекрасной
Шаль я срывал.
Тщетны измены! 
Образ 
Елены
В сердце пылал!
Ах! возвратися,
Радость очей,
Хладна, тронися
Грустью моей. - 
Тщетно взывает
Бедный певец!
Нет! не встречает
Мукам конец...
Так! до могилы
Грустен, унылый,
Крова ищи!
Всеми забытый,
Терном увитый
Цепи влачи.........

 ",1815
207,Пушкин,Именины,"

Умножайте шум и радость;
Пойте песни в добрый час:
Дружба, 
Грация и 
Младость
Именинницы у нас.
Между тем дитя крылато,
Вас приветствуя, друзья,
Втайне думает: когда–то
Именинник буду я! ",1820
208,Пушкин,* * *,"

Иной имел мою 
Аглаю1
За свой мундир и черный ус,
Другой за деньги — понимаю,
Другой за то, что был француз,
Клеон — умом ее стращая,
Дамис — за то, что нежно пел.
Скажи теперь, мой друг 
Аглая,
За что твой муж тебя имел? ",1822
209,Пушкин,Иностранке,"
На языке тебе невнятном
Стихи прощальные пишу,
Но в заблуждении приятном
Вниманья твоего прошу:
Мой друг, доколе не увяну,
В разлуке чувство погубя,
Боготворить не перестану
Тебя, мой друг, одну тебя.
На чуждые черты взирая,
Верь только сердцу моему,
Как прежде верила ему,
Его страстей не понимая.  ",1822
210,Пушкин,Исповедь бедного стихотворца,"
Священник.
Кто ты, мой сын?
 
Стихотворец. 
Отец, я бедный однодворец,
Сперва подьячий был, а ныне стихотворец.
Довольно в целый год бумаги исчертил;
Пришел покаяться - я много нагрешил.
 
Священник.
Поближе; наперед скажи мне откровенно,
Намерен ли себя исправить непременно?
 
Стихотворец.
Отец, я духом слаб, не смею слова дать.
 
Священник. 
Старался ль ты закон господний соблюдать
И кроме 
Вышнего не чтить другого бога?
 
Стихотворец.
Ах, с этой стороны я грешен очень много;
Мне богом было - я, любви предметом - я, 
В я заключалися и братья и друзья, 
Лишь я был мой и царь и демон обладатель;
А что всего тошней, лишь я был мой читатель.
 
Священник. 
Вторую заповедь исполнил ли, мой сын?
 
Стихотворец.
Кумиров у меня бывало не один:
Любил я золото и знатным поклонялся,
Во всякой песенке 
Глафирами пленялся,
Которых от роду хотя и не видал,
Но тем не менее безбожно обожал.
 
Священник. 
А имя божие?
 
Стихотворец.

Когда не доставало
Иль рифмы иль стопы, то, признаюсь, бывало 
И имя божие вклею в упрямый стих.
 
Священник. 
А часто ль?
 
Стихотворец. 
Да во всех элегиях моих:
Там можешь, батюшка, прочесть на каждой строчке «
Увы!» и «се», и «ах», «мой бог!», тире да точки.
 
Священник. 
Нехорошо, мой сын! 
А чтишь ли ты родных?
 
Стихотворец.
Не много; да к тому ж не знаю вовсе их,
Зато своих я чад люблю и чту душою.
 
Священник.
Как время проводил?
 
Стихотворец.

Я летом и зимою
Пять дней пишу, пишу, печатаю в шестой,
Чтоб с горем пополам насытиться в седьмой.
А в церковь некогда: в передней 
Глазунова
Я по три жду часа с лакеями 
Графова.
 
Священник.
Убийцей не был ли?
 
Стихотворец.
Ах, этому греху,
Отец, причастен я, покаюсь на духу.
Приятель мой 
Дамон лежал при смерти болен.
Я навестил его; он очень был доволен;
Желая бедному страдальцу угодить,
Я оду стал ему торжественно твердить.
И что же? 
Бедный друг! 
Он со строфы начальной 
Поморщился, кряхтел... и умер.
 
Священник.
Не похвально!
Но вот уж грех прямой: да ты ж прелюбодей!
Твои стихи...
 
Стихотворец. 
Все лгут, а на душе моей,
Ей-богу, я греха такого не имею;
По моде лишний грех взвалил себе на шею
А правду вымолвить - я сущий 
Эпиктет,
Воды не замутить, предобренький поэт. 
 
Священник.
Да, лгать нехорошо. 
Скажи мне, бога ради, 
Соблюл ли заповедь хоть эту: не укради?
 
Стихотворец.
Ах, батюшка, грешон! 
Я краду иногда!(
К тому приучены все наши господа),
Словцо из 
Коцебу, стих целый из 
Вольтера,
И даже у своих; не надобно примера.
Да как же без того бедняжкам нам писать?
Как мало своего - придется занимать.
 
Священник.
Нехорошо, мой сын, на счет чужой лениться, 
Советую тебе скорее отучиться
От этого греха. 
На друга своего
Не доносил ли ты и ложного чего?
 
Стихотворец.
Лукавый соблазнил. 
Я малый не богатый - 
За деньги написал посланье длинновато, 
В котором 
Мевия усердно утешал - 
Он, батюшка, жену недавно потерял.
Я публике донес что бедный горько тужит, 
А он от радости молебны богу служит. 
 
Священник.
Вперед не затевай, мой сын, таких проказ.
Завидовал ли ты?
 
Стихотворец.
Завидовал не раз,
Греха не утаю, - богатому соседу.
Хоть не ослу его, но жирному обеду
И бронзе, деревням и рыжей четверне,
Которых не иметь мне даже и во сне.
Завидовал купцу, беспечному монаху,
Глупцу, заснувшему без мыслей и без страху, 
И, словом, всякому, кто только не поэт.
 
Священник.
Худого за собой не знаешь больше?
 
Стихотворец. 
Нет.
Во всем покаялся; греха не вспомню боле, 
Я вечно трезво жил, постился поневоле, 
И ближним выгоду не раз я доставлял:
Частенько одами несчастных усыплял.
 
Священник.
Послушай же теперь полезного совета:
Будь добрый человек из грешного поэта.

Dubia, 
 ",1813-1817
211,Пушкин,Истина,"
Издавна мудрые искали
Забытых 
Истины следов
И долго, долго толковали
Давнишни толки стариков.
Твердили: «
Истина нагая
В колодез убралась тайком»,
И, дружно воду выпивая,
Кричали: «
Здесь ее найдем!»
Но кто-то, смертных благодетель(
И чуть ли не старик 
Силен),
Их важной глупости свидетель,
Водой и криком утомлен,
Оставил невидимку нашу,
Подумал первый о вине
И, осушив до капли чашу,
Увидел 
Истину на дне.

 ",1816
212,Пушкин,История стихотворца,"
Внимает он привычным ухом
Свист;
Марает он единым духом
Лист;
Потом всему терзает свету
Слух;
Потом печатает - и в 
Лету
Бух!
 ",1817-1820
213,Пушкин,* * *,"

Источник быстрый 
Каломоны,
Бегущий к дальним берегам,
Я зрю, твои взмущенны волны
Потоком мутным по скалам
При блеске звезд ночных сверкают
Сквозь дремлющий, пустынный лес,
Шумят и корни орошают
Сплетенных в темный кров древес.
Твой мшистый брег любила 
Кольна,
Когда по небу тень лилась:
Ты зрел, когда, в любви невольна,
Здесь другу 
Кольна отдалась.

В чертогах 
Сельмы царь могущих
Тоскару юному вещал:
«
Гряди во мрак лесов дремучих,
Где 
Крона катит черный вал,
Шумящей прохлажден осиной. –
Там ряд является могил:
Там с верной, храброю дружиной
Полки врагов я расточил.
И много, много сильных пало:
Их гробы черный вран стрежет.
Гряди – и там, где их не стало,
Воздвигни памятник побед!»
Он рек, и в путь безвестный, дальный
Пустился с бардами 
Тоскар,
Идет во мгле ночи печальной,
В вечерний хлад, в полдневный жар. –
Денница красная выводит
Златое утро в небеса,
И вот уже 
Тоскар подходит
К местам, где в темные леса
Бежит седой источник 
Кроны
И кроется в долины сонны. –
Воспели барды гимн святой;
Тоскар обломок гор кремнистых
Усильно мощною рукой
Влечет из бездны волн сребристых,
И с шумом на высокой брег
В густой и дикой злак поверг;
На нем повесил черны латы,
Покрытый кровью предков меч,
И круглый щит, и шлем пернатый,
И обратил он к камню речь:

«
Вещай, сын шумного потока,
О храбрых поздним временам!
Да в страшный час, как ночь глубока
В туманах ляжет по лесам,
Пришлец, дорогой утомленный,
Возлегши под надежный кров,
Воспомнит веки отдаленны
В мечтаньи сладком легких снов!
С рассветом алыя денницы,
Лучами солнца пробужден,
Он узрит мрачные гробницы...
И грозным видом поражен,
Вопросит сын иноплеменный:
«
Кто памятник воздвиг надменный
И старец, летами согбен,
Речет: «
Тоскар наш незабвенный,
Герой умчавшихся времен!»

Небес сокрылся вечный житель,
Заря потухла в небесах;
Луна в воздушную обитель
Спешит на темных облаках;
Уж ночь на холме – берег 
Кроны
С окрестной рощею заснул:
Владыко сильный 
Каломоны,
Иноплеменных друг, 
Карул
Призвал 
Морвенского героя
В жилище 
Кольны молодой
Вкусить приятности покоя
И пить из чаши круговой.

......................................

.....................................
Близь пепелища все воссели;
Веселья барды песнь воспели.
И в пене кубок золотой
Крутом несется чередой. –
Печален лишь пришелец 
Лоры,
Главу ко груди преклонил:
Задумчиво он страстны взоры
На нежну 
Кольну устремил –
И тяжко грудь его вздыхает,
В очах веселья блеск потух,
То огнь по членам пробегает,
То негою томится дух;
Тоскует, втайне ощущая
Волненье сильное в крови
На юны прелести взирая,
Он полну чашу пьет любви.

Но вот уж дуб престал дымиться,
И тень мрачнее становится,
Чернеет тусклый небосклон,
И царствует в чертогах сон.
...........................................
...........................................
Редеет ночь – заря багряна
Лучами солнца возжена;
Пред ней златится твердь румяна:
Тоскар покинул ложе сна;
Быстротекущей 
Каломоны
Идет по влажным берегам,
Спешит узреть долины 
Кроны
И внемлет плещущим волнам.
И вдруг из сени темной рощи,
Как в час весенней полунощи
Из облак месяц золотой,
Выходит ратник молодой. –
Меч острый на бедре сияет,
Копье десницу воружает:
Надвинут на чело шелом,
И гибкой стан покрыт щитом:
Зарею латы серебрятся
Сквозь утренний в долине пар.

«
О юный ратник! – рек 
Тоскар, –
С каким врагом тебе сражаться?
Ужель и в сей стране война
Багрит ручьев струисты волны?
Но всё спокойно – тишина
Окрест жилища нежной 
Кольны».
«
Спокойны дебри 
Каломоны,
Цветет отчизны край златой;
Но 
Кольна там не обитает,
И ныне по стезе глухой
Пустыню с милым протекает,
Пленившим сердце красотой».
«
Что рек ты мне, младой воитель?
Куда сокрылся похититель?
Подай мне щит твой!» – 
И 
Тоскар
Приемлет щит, пылая мщеньем.
Но вдруг исчез геройства жар;
Что зрит он с сладким восхищеньем?
Не в силах в страсти воздохнуть,
Пылая вдруг восторгом новым...
Лилейна обнажилась грудь,
Под грозным дышуща покровом...
– «
Ты ль это?...» – возопил герой,
И трепетно рукой дрожащей
С главы снимает шлем блестящий –
И 
Кольну видит пред собой. ",1817
214,Пушкин,* * *,"

Итак я счастлив был, итак я наслаждался,
Отрадой тихою, восторгом упивался...
И где веселья быстрый день?
Промчался лётом сновиденья,
Увяла прелесть наслажденья,
И снова вкруг меня угрюмой скуки тень!
 ",1815
215,Пушкин,* * *,"

Зачем безвремянную скуку
Зловещей думою питать,
И неизбежную разлуку
В уныньи робком ожидать?
И так уж близок день страданья!
Один, в тиши пустых полей,
Ты будешь звать воспоминанья
Потерянных тобою дней!
Тогда изгнаньем и могилой,
Несчастный! будешь ты готов
Купить хоть слово девы милой,
Хоть легкий шум ее шагов.
 ",1820
216,Пушкин,К А. Б...,"
Что можем на скоро стихами молвить ей?
Мне истина всего дороже.
Подумать не успев, скажу: ты всех милей;
Подумав, я скажу всё то же. 

 ",1817-1820
217,Пушкин,К А. Тимашевой,"

Я видел вас, я их читал,
Сии прелестные созданья,
Где ваши томные мечтанья
Боготворят свой идеал.
Я пил отраву в вашем взоре,
В душой исполненных чертах,
И в вашем милом разговоре,
И в ваших пламенных стихах;
Соперницы запретной розы
Блажен бессмертный идеал...
Стократ блажен, кто вам внушал
Не много рифм и много прозы. ",1826
218,Пушкин,К Баратынскому,"

Стих каждый в повести твоей
Звучит и блещет, как червонец.
Твоя чухоночка, ей–ей,
Гречанок 
Байрона милей,
А твой зоил прямой чухонец. ",1826
